lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
0.5,3.29,0.6770496620628856,1.5275435011911631,0.3914768363907933,0.0349022570904344,0.0427,,,2800.0,42
0.5,3.52,0.6744049368204525,1.5266203725649754,0.3864475654996931,0.033396537033841,0.0414,,,3000.0,42
0.5,3.76,0.6729356450191007,1.5470776723004285,0.4103946300595998,0.0362220057379454,0.0423,,,3200.0,42
0.5,3.99,0.6691154863355863,1.5640270815608854,0.4374721857532859,0.0391145427990704,0.0428,,,3400.0,42
0.5,4.23,0.6685277696150456,1.613168740396005,0.2398790252767503,0.0211349141411483,0.0422,,,3600.0,42
0.5,final,0.6802821040258595,,,,,0.677343520423156,1.4418782940549848,2400.0,42
0.1,0.23,0.629444607699089,1.5561409391202263,1.838828257024288,0.1443289833143353,0.0078,,,200.0,42
0.1,0.47,0.6500146929180135,1.4728581128385254,1.6546572509407995,0.1330444829165935,0.008,,,400.0,42
0.1,0.7,0.6594181604466647,1.422941018457522,1.5552624809741973,0.1273982418328523,0.0081,,,600.0,42
0.1,0.94,0.6714663532177491,1.39538488166843,1.5276554718613624,0.1238169004581868,0.008,,,800.0,42
0.1,1.17,0.6688216279753159,1.4291380028794032,1.130581873394549,0.0955354382283985,0.0084,,,1000.0,42
0.1,1.41,0.6746987951807228,1.4033754417695194,1.0074664510786533,0.085387486917898,0.0084,,,1200.0,42
0.1,1.64,0.6732295033793712,1.4382295784549506,1.0159976328909397,0.0855953973904252,0.0084,,,1400.0,42
0.1,1.88,0.6741110784601821,1.4117246555679517,0.9973687322437764,0.0855584329739213,0.0085,,,1600.0,42
0.1,2.11,0.6744049368204525,1.463134529658566,0.8098696139547974,0.0699603274557739,0.0086,,,1800.0,42
0.1,2.35,0.6794005289450484,1.4552722286247977,0.6502375146746635,0.0561936366558075,0.0086,,,2000.0,42
0.1,2.58,0.6688216279753159,1.4815491086554604,0.6370199881866574,0.055787468291819,0.0087,,,2200.0,42
0.1,2.82,0.6661769027328828,1.5028258445392173,0.6281651712208987,0.0557596697006374,0.0088,,,2400.0,42
0.1,3.05,0.6726417866588305,1.5119920935993014,0.5997365253645693,0.0530038334894925,0.0088,,,2600.0,42
0.1,3.29,0.6620628856890979,1.5355900534848204,0.3683045787364244,0.0321971934754401,0.0087,,,2800.0,42
0.1,3.52,0.6694093446958566,1.5706376260496258,0.3803558657690882,0.0342107679601758,0.0089,,,3000.0,42
0.1,3.76,0.669703203056127,1.538927435664755,0.4010382378101348,0.0361539633292704,0.0089,,,3200.0,42
0.1,final,0.6794005289450484,,,,,0.6785189538642374,1.4423381576739862,2000.0,42
0.0,0.23,0.6435498089920658,1.533205259066976,1.889543639421463,0.0,0.0,,,200.0,42
0.0,0.47,0.6532471348809874,1.4551759820596772,1.6119311192631722,0.0,0.0,,,400.0,42
0.0,0.7,0.6620628856890979,1.4372872808664083,1.5403949958086014,0.0,0.0,,,600.0,42
0.0,0.94,0.669703203056127,1.398676507128991,1.513059715330601,0.0,0.0,,,800.0,42
0.0,1.17,0.6691154863355863,1.4208139009486918,1.1723852693341903,0.0,0.0,,,1000.0,42
0.0,1.41,0.6720540699382898,1.4195740550992912,0.9901575894653796,0.0,0.0,,,1200.0,42
