anchor_token,spearman_r,p_value,n_pairs
 results,-0.2165958724289039,4.440310892736984e-14,1188
acy,-0.21657024847517764,0.00016903215497163958,297
 less,-0.21577933831629648,1.2606955681322357e-06,495
 Develop,-0.21473211959703498,1.262452879269408e-07,594
 already,-0.21456391407699366,0.00019483816593235644,297
J,-0.21439685913314074,1.4789422166842827e-06,495
 cases,-0.2139516822321517,0.00020341851004982298,297
$,-0.2138850117910695,1.766102280067672e-05,396
 difficult,-0.21387993631112442,0.00020444681833265874,297
 there,-0.21372971473079586,7.703221657374892e-19,1683
otic,-0.2136035156532733,0.00020845424309400487,297
 speech,-0.21334273423498615,0.0002123021171747329,297
ories,-0.2124813823450475,1.8419283474186764e-06,495
 --,-0.21200671747888142,0.00023307777246146645,297
 IS,-0.21136609659739866,2.091084992668702e-06,495
од,-0.21101242393475853,0.0002497551131626121,297
 —,-0.21044169241548052,2.3881658914175417e-14,1287
 basis,-0.20937913298880578,2.6683732698712014e-05,396
 by,-0.2085082933108963,8.134898897027249e-184,18810
 wide,-0.20837147603402378,4.627653178147183e-15,1386
 start,-0.2081511802245847,3.750342656964012e-11,990
 reason,-0.20768639405719846,3.634345559763836e-09,792
 app,-0.2073204561222452,3.2126523727862026e-05,396
 capture,-0.20729301736050398,3.3043960150308626e-06,495
 but,-0.20699540639835004,8.644535925703782e-121,12474
 bombing,-0.20698801862112098,3.309843082506654e-05,396
 places,-0.20635595243160706,3.9068414598665585e-07,594
 are,-0.206247284900144,0.0,45144
 included,-0.20569839400967105,4.2608214552172593e-07,594
 financial,-0.2050409361076024,3.937344581577914e-05,396
 leave,-0.20496139707996147,3.965229510910142e-05,396
 plane,-0.20468654880251924,0.00038480603727123375,297
 record,-0.20441830148204213,0.0003918138567294998,297
ILY,-0.20433782282636764,0.00039393934377639347,297
 5,-0.2036137349694967,3.945452599961291e-18,1782
 sets,-0.2026518391791255,0.00044100754064611163,297
 Mac,-0.20258753065245283,5.543680798763755e-06,495
 meal,-0.20241632831267609,6.54140038342862e-07,594
 di,-0.20151915172631407,0.00047550684863116864,297
 train,-0.2014398861360059,7.421168480924797e-07,594
 must,-0.20129240043328736,1.647583153120044e-10,990
day,-0.20096774477838913,6.606151599141946e-06,495
 feelings,-0.20083603189532348,0.0004975070668207186,297
co,-0.20076835512165647,5.7302465894087206e-05,396
R,-0.20075322675297572,1.4881231252225624e-09,891
 love,-0.20054555364294502,9.926546430513616e-17,1683
jer,-0.19962117245467018,0.0005389806547029438,297
 were,-0.19940876405893562,2.4678855637602366e-89,9900
 calls,-0.19901750851939706,0.0005607601180799316,297
 item,-0.19835407676314346,0.0005856347877362491,297
 case,-0.1978718192457065,3.440853087000098e-17,1782
 Mon,-0.19730842672994017,1.2571141462845383e-06,594
 from,-0.1970178099635231,1.1393307561693389e-136,15642
 for,-0.19680793252935402,0.0,38214
 using,-0.19677381568235963,1.7715896169178914e-07,693
 you,-0.19671676715116107,0.0,37422
 Per,-0.1964569427861193,0.0006625174427013539,297
 forced,-0.19641197068783126,1.0736129448914841e-05,495
 C,-0.1963743355855048,1.1591430776065846e-18,1980
 finance,-0.19604620175818546,8.597217744936516e-05,396
 If,-0.1953919922065953,1.1951016795919769e-05,495
 have,-0.1951090914328365,1.169676782879542e-186,21879
 Se,-0.1946767825351819,9.653460444776304e-05,396
 section,-0.19459623756184868,1.298852948412613e-05,495
 caused,-0.1945441390892749,9.762010649102825e-05,396
 fashion,-0.194223309458469,0.0007649641200283623,297
 am,-0.19400724503417532,2.0709059309154636e-27,3069
 Dr,-0.19389862601812974,2.68888345750561e-07,693
 cause,-0.19359420069492014,2.00021564800429e-06,594
 manufacturers,-0.19353608962625035,0.0007993126411443878,297
 procedure,-0.19349986556593204,0.0008011621048309549,297
 hands,-0.19334484591798398,0.0008091215418108301,297
 former,-0.1926812252540939,3.2024634855388073e-07,693
 ways,-0.19256148199325282,6.867710948835324e-09,891
the,-0.19254630123125932,9.73181345942137e-24,2673
 AM,-0.19233599090248837,0.0008627303280168331,297
I,-0.19165999671044118,1.9142634877993695e-49,5841
effective,-0.19082604789712773,1.9181020089197936e-05,495
'm,-0.19051523127645859,7.0021619595425615e-37,4356
 roof,-0.19026920905420083,0.0009829307435733493,297
 what,-0.19005063895002802,9.251335720251704e-21,2376
1,-0.18990221438041274,2.7068241105385833e-76,9306
 go,-0.18975436631684747,1.6652337967889065e-13,1485
 thank,-0.1897244386133704,0.0010170875683936397,297
 studies,-0.1892052801100228,0.001050652449875475,297
 working,-0.18902171398168685,1.2954413451212776e-12,1386
ily,-0.1887103957309419,0.001083594316729284,297
 animated,-0.18822320525428682,0.0011169499841013075,297
NI,-0.18821228706780826,2.5022552911807815e-05,495
 paper,-0.18818094203544358,0.001119887622773172,297
 match,-0.18777856979521354,1.1177639954344173e-11,1287
 black,-0.18738121688133272,1.0832897522849143e-07,792
 could,-0.18665633462653367,2.48032764403188e-12,1386
 being,-0.1864587784881339,2.9296983198876346e-19,2277
 To,-0.18627147126208715,3.0412541743148347e-05,495
burn,-0.18600439943945046,0.001281140869194029,297
 just,-0.1858794921293094,1.28710757778233e-17,2079
0,-0.1857892208797687,2.293398488428671e-18,2178
 x,-0.1857066027492173,1.4107262067562827e-07,792
 come,-0.18549355240960444,8.78732127785045e-07,693
!,-0.18545886675652784,2.809144928012925e-37,4653
down,-0.18522503611054283,0.00021022549872542104,396
 M,-0.18519477192969622,5.1295465595937e-19,2277
ul,-0.18453496709855602,2.884886036902248e-08,891
ology,-0.18448319840298516,8.587237227337231e-10,1089
 matter,-0.18407670675095328,6.315848140905917e-06,594
 screen,-0.18388496279476158,0.00023404269236039076,396
 mod,-0.18359382224252369,6.684991737284618e-06,594
 share,-0.18354237580682517,1.8441892005238746e-10,1188
 that,-0.1834866608421599,3.104202082365081e-276,36828
 reports,-0.18338607080051264,1.1727946250692395e-06,693
 |,-0.18314855345245593,1.211326506315167e-06,693
 will,-0.18298598707842575,4.1142506012432804e-106,14058
 feet,-0.18289532528439706,0.000253225930088768,396
 about,-0.18254891701992734,8.99875810805027e-62,8118
